time,data
1100000001100.0,"[0.11, 0.0, -0.072]"
1100400001104.0,"[0.104, 0.0, -0.059]"
1100800001108.0,"[0.178, 0.0, -0.124]"
1110000001110.0,"[0.119, 0.0, -0.069]"
1110400001114.0,"[0.127, 0.0, -0.085]"
1110800001118.0,"[0.138, 0.0, -0.11]"
1120000001120.0,"[0.134, 0.0, -0.124]"
1120400001124.0,"[0.156, 0.0, -0.199]"
1120800001128.0,"[0.064, 0.0, -0.109]"
1130000001130.0,"[0.144, 0.0, -0.166]"
1130400001134.0,"[0.142, 0.0, -0.096]"
1130800001138.0,"[0.143, 0.0, -0.179]"
1140000001140.0,"[0.145, 0.0, -0.15]"
1140400001144.0,"[0.144, 0.0, -0.009]"
1140800001148.0,"[0.147, 0.0, -0.051]"
1150000001150.0,"[0.146, 0.0, -0.018]"
1150400001154.0,"[0.145, 0.0, -0.076]"
1150800001158.0,"[0.154, 0.0, 0.054]"
1160000001160.0,"[0.152, 0.0, 0.043]"
1160400001164.0,"[0.156, 0.0, -0.01]"
1160800001168.0,"[0.156, 0.0, -0.02]"
1170000001170.0,"[0.156, 0.0, 0.083]"
1170400001174.0,"[0.156, 0.0, -0.019]"
1170800001178.0,"[0.156, 0.0, 0.088]"
1180000001180.0,"[0.156, 0.0, 0.008]"
1180400001184.0,"[0.156, 0.0, -0.016]"
1180800001188.0,"[0.154, 0.0, -0.045]"
1190000001190.0,"[0.156, 0.0, -0.009]"
1190400001194.0,"[0.156, 0.0, -0.027]"
1190800001198.0,"[0.156, 0.0, -0.032]"
1200000001200.0,"[0.154, 0.0, 0.039]"
1200400001204.0,"[0.154, 0.0, -0.048]"
1200800001208.0,"[0.156, 0.0, -0.026]"
1210000001210.0,"[0.156, 0.0, 0.025]"
1210400001214.0,"[0.163, 0.0, 0.072]"
1210800001218.0,"[0.158, 0.0, -0.049]"
1220000001220.0,"[0.162, 0.0, 0.041]"
1220400001224.0,"[0.156, 0.0, -0.029]"
1220800001228.0,"[0.155, 0.0, 0.03]"
1230000001230.0,"[0.156, 0.0, -0.031]"
1230400001234.0,"[0.161, 0.0, -0.02]"
1230800001238.0,"[0.16, 0.0, -0.047]"
1240000001240.0,"[0.162, 0.0, 0.065]"
1240400001244.0,"[0.155, 0.0, -0.086]"
1240800001248.0,"[0.155, 0.0, 0.002]"
1250000001250.0,"[0.155, 0.0, -0.007]"
1250400001254.0,"[0.152, 0.0, -0.0]"
1250800001258.0,"[0.152, 0.0, -0.068]"
1260000001260.0,"[0.156, 0.0, 0.036]"
1260400001264.0,"[0.155, 0.0, -0.004]"
1260800001268.0,"[0.155, 0.0, 0.041]"
1270000001270.0,"[0.155, 0.0, -0.028]"
1270400001274.0,"[0.154, 0.0, 0.039]"
1270800001278.0,"[0.155, 0.0, -0.017]"
1280000001280.0,"[0.156, 0.0, 0.04]"
1280400001284.0,"[0.15, 0.0, -0.074]"
1280800001288.0,"[0.156, 0.0, 0.062]"
1290000001290.0,"[0.153, 0.0, -0.013]"
1290400001294.0,"[0.155, 0.0, 0.073]"
1290800001298.0,"[0.153, 0.0, 0.01]"
1300000001300.0,"[0.155, 0.0, 0.018]"
1300400001304.0,"[0.155, 0.0, -0.061]"
1300800001308.0,"[0.153, 0.0, 0.038]"
1310000001310.0,"[0.156, 0.0, 0.024]"
1310400001314.0,"[0.154, 0.0, 0.027]"
1310800001318.0,"[0.154, 0.0, -0.03]"
1320000001320.0,"[0.155, 0.0, 0.065]"
1320400001324.0,"[0.154, 0.0, -0.078]"
1320800001328.0,"[0.154, 0.0, 0.071]"
1330000001330.0,"[0.155, 0.0, 0.022]"
1330400001334.0,"[0.162, 0.0, -0.024]"
1330800001338.0,"[0.161, 0.0, -0.034]"
1340000001340.0,"[0.161, 0.0, 0.001]"
